,Best,Dataset,Model,Parameter,Sig Datasets
189,False,Restaurant,TDParse Minus,2.0,0
190,False,Restaurant,TDParse,1.0,1
191,False,Restaurant,TDParse,3.0517578125e-05,5
192,False,Restaurant,TDParse,0.0001220703125,5
193,False,Restaurant,TDParse,0.00048828125,5
194,False,Restaurant,TDParse,0.001953125,1
195,True,Restaurant,TDParse,0.0078125,0
196,False,Restaurant,TDParse,0.03125,0
197,False,Restaurant,TDParse,0.125,0
198,False,Restaurant,TDParse,0.5,1
199,False,Restaurant,TDParse,2.0,1
200,False,Restaurant,TDParsePlus,1.0,3
201,False,Restaurant,TDParsePlus,3.0517578125e-05,5
202,False,Restaurant,TDParsePlus,0.0001220703125,5
203,False,Restaurant,TDParsePlus,0.00048828125,5
204,False,Restaurant,TDParsePlus,0.001953125,0
205,True,Restaurant,TDParsePlus,0.0078125,0
206,False,Restaurant,TDParsePlus,0.03125,0
207,False,Restaurant,TDParsePlus,0.125,0
208,False,Restaurant,TDParsePlus,0.5,3
209,False,Restaurant,TDParsePlus,2.0,3
210,False,Election,Target Independent,1.0,2
211,False,Election,Target Independent,3.0517578125e-05,5
212,False,Election,Target Independent,0.0001220703125,5
213,False,Election,Target Independent,0.00048828125,5
214,False,Election,Target Independent,0.001953125,5
215,False,Election,Target Independent,0.0078125,5
216,False,Election,Target Independent,0.03125,5
217,False,Election,Target Independent,0.125,1
218,True,Election,Target Independent,0.5,0
219,False,Election,Target Independent,2.0,4
220,False,Election,Target Dependent Minus,1.0,1
221,False,Election,Target Dependent Minus,3.0517578125e-05,5
222,False,Election,Target Dependent Minus,0.0001220703125,5
223,False,Election,Target Dependent Minus,0.00048828125,5
224,False,Election,Target Dependent Minus,0.001953125,5
225,False,Election,Target Dependent Minus,0.0078125,3
226,False,Election,Target Dependent Minus,0.03125,0
227,True,Election,Target Dependent Minus,0.125,0
228,False,Election,Target Dependent Minus,0.5,1
229,False,Election,Target Dependent Minus,2.0,4
230,False,Election,Target Dependent,1.0,5
231,False,Election,Target Dependent,3.0517578125e-05,5
232,False,Election,Target Dependent,0.0001220703125,5
233,False,Election,Target Dependent,0.00048828125,5
234,False,Election,Target Dependent,0.001953125,5
235,False,Election,Target Dependent,0.0078125,1
236,False,Election,Target Dependent,0.03125,0
237,True,Election,Target Dependent,0.125,0
238,False,Election,Target Dependent,0.5,4
239,False,Election,Target Dependent,2.0,4
240,False,Election,Target Dependent Plus,1.0,0
241,False,Election,Target Dependent Plus,3.0517578125e-05,5
242,False,Election,Target Dependent Plus,0.0001220703125,5
243,False,Election,Target Dependent Plus,0.00048828125,5
244,False,Election,Target Dependent Plus,0.001953125,5
245,False,Election,Target Dependent Plus,0.0078125,2
246,True,Election,Target Dependent Plus,0.03125,0
247,False,Election,Target Dependent Plus,0.125,0
248,False,Election,Target Dependent Plus,0.5,1
249,False,Election,Target Dependent Plus,2.0,1
250,False,Election,TDParse Minus,1.0,0
251,False,Election,TDParse Minus,3.0517578125e-05,5
252,False,Election,TDParse Minus,0.0001220703125,5
253,False,Election,TDParse Minus,0.00048828125,5
254,False,Election,TDParse Minus,0.001953125,5
255,False,Election,TDParse Minus,0.0078125,5
256,False,Election,TDParse Minus,0.03125,5
257,False,Election,TDParse Minus,0.125,2
258,True,Election,TDParse Minus,0.5,0
